son,parent
1274833,1254939
1102220,1266753
1250492,1034522
1106039,1101846
1121673,1121676
1020100,1121676
758940,1121676
1711683,725263
2182760,725263
1031643,727272
2460599,732328
1024730,732328
1272641,732328
1272279,732328
1015271,732328
2306638,732328
2494007,1018574
1791658,1307864
1015155,1094851
1608225,2491292
2233602,1960293
2306566,732328
2306610,732328
1025240,792081
1336278,1281993
2352858,1281993
2311838,1146460
1630757,792081
1230624,2435708
1028284,792081
1064111,733078
1070155,736447
1104409,750659
1458301,779544
1458257,779544
1023953,779544
1818306,1267634
1918779,1089202
1370845,1112455
2489637,1265221
1283539,1245730
2454718,1007792
2454710,1007792
1185194,1007792
1281925,1007792
1259696,1007792
1234274,1007792
1233615,1007792
1268374,1260126
1168725,1260716
1170646,1267509
1267577,1267545
1127897,1140416
1808257,1140416
1071753,2386694
1126861,2419140
1524474,2419140
1052185,1190154
1158597,1227881
2480477,1256066
2413723,723008
2413659,723008
789133,1000142
1266609,1250177
1266585,1250177
1266318,1250177
2279565,1015741
1656432,1015741
2193096,1015741
2355707,1015741
1052871,1266772
2060947,725580
1108560,1267703
1451144,1293880
1153966,1293880
1257802,1065752
1419524,1084661
1205129,1089745
1152898,1089745
1294312,1219530
1837891,1838149
1266407,1838149
1596940,728113
1244392,730815
1236873,747115
2448186,1017379
2294797,1037453
1311503,1311866
1197068,1101846
1121672,1121676
1984963,1218246
2246190,725263
2399071,725969
1125475,1005242
1279972,1006704
2436709,1010115
1179610,1279526
1245193,1031774
1085271,1337262
1243778,2435708
1336852,2456252
2337953,732328
1022531,792081
1630465,792081
1125117,792081
2491887,792081
2437661,792081
1006994,792081
793698,733078
1911228,743583
1544996,743583
1458252,779544
1051384,779544
2266244,786851
2275265,1016108
1204986,1259539
1425595,1262390
2088234,1267634
1282683,1017686
1328708,1268963
1261685,1047663
1636741,1568160
1918778,1089202
2490342,783400
1123740,783400
1227697,1243112
1406569,1243112
1071999,797205
1234809,797205
1135145,1006521
1185195,1007792
1073258,1007792
1236204,1007792
1841166,1260126
1043232,1262397
1034289,1267489
1267873,1267545
1023246,1045612
1167660,1123255
1574233,1633985
2131413,2419140
1146501,1256066
1959473,1011289
1871129,1011289
1791559,1011289
790921,1011289
2007865,1262245
149462,773720
1502785,2303999
1213683,790950
1009415,798865
1647740,1266240
1273739,1266240
1184538,1266340
1133290,1266340
1978764,2112247
1126530,1023522
2047343,1279036
2028994,1050799
1978465,1634355
1125510,1015741
1966193,1123127
1311903,1015741
2007663,723906
2420819,723906
2097917,724717
1132790,726537
1077548,750542
1964078,1000788
2021517,1247287
1640172,1011289
1457606,1011289
1457538,1011289
1457530,1011289
2074449,1011289
1791403,1011289
1009533,1011289
2007912,1262245
2436194,721441
771288,786839
1246268,1267072
2187059,1075707
1256050,1075707
1125155,1110550
1272992,2489939
1015370,1284757
2100174,1017754
1443539,759752
2166603,773325
1228250,1004488
2376590,1010849
2496059,1266817
2461587,1266817
1000365,1278659
1004991,1335757
2193542,1088538
1180757,1164552
2208539,1164552
1250173,1164552
2449630,1228410
2124313,2473039
1703158,775282
1115545,1250721
1463598,1251139
1407572,1251139
1075901,1251139
1216215,1273384
2014321,1172269
1526027,2432662
1007413,1205708
1048924,1251147
1216243,1270452
1091502,1336108
1377928,1101796
560094,773720
2267064,1001949
2487665,1266240
752633,1266340
1061931,1266798
2017023,1267101
1556903,1267101
1026973,720939
1364244,730789
2277360,751530
1049603,1262410
1763577,1266237
1962281,1039624
1064714,1300165
1310438,1171553
1615473,740954
1780485,1245172
2496003,1250372
2495998,1250372
1000297,1250372
1360192,1511787
2152266,1511787
1287180,1261150
1095084,1015462
1092839,1264477
1197036,1273386
1065717,2422851
2032911,2422851
1390180,1217348
1100670,1245172
1249683,1245172
1265529,1266175
1145946,1032846
2042004,37556
774057,528263
1029758,726410
1092016,750500
1146631,1265897
1085382,1265905
796140,1266239
1969454,1534583
1098228,1274081
