id,parent_id,name
337,29,张掖市
338,29,平凉市
339,29,酒泉市
340,29,庆阳市
341,29,定西市
342,29,陇南市
343,29,临夏回族自治州
344,29,甘南藏族自治州
345,30,西宁市
346,30,海东地区
347,30,海北藏族自治州
348,30,黄南藏族自治州
349,30,海南藏族自治州
350,30,果洛藏族自治州
351,30,玉树藏族自治州
352,30,海西蒙古族藏族自治州
353,31,银川市
354,31,石嘴山市
355,31,吴忠市
356,31,固原市
357,31,中卫市
358,32,乌鲁木齐市
359,32,克拉玛依市
360,32,吐鲁番地区
361,32,哈密地区
362,32,昌吉回族自治州
363,32,博尔塔拉蒙古自治州
364,32,巴音郭楞蒙古自治州
365,32,阿克苏地区
366,32,克孜勒苏柯尔克孜自治州
367,32,喀什地区
368,32,和田地区
369,32,伊犁哈萨克自治州
370,32,塔城地区
371,32,阿勒泰地区
372,32,新疆省直辖行政单位
3552,9,安达市
3553,4,安国市
3554,18,安陆市
3555,26,安宁市
3556,16,安丘市
3557,4,霸州市
3558,9,北安市
3559,21,北流市
3560,7,北票市
3561,7,北镇市
3562,4,泊头市
3563,21,岑溪市
3564,16,昌邑市
3565,17,长葛市
3566,14,长乐市
3567,19,常宁市
3568,11,常熟市
3569,18,赤壁市
3570,25,赤水市
3571,24,崇州市
3572,12,慈溪市
3573,20,从化市
3574,8,大安市
3575,11,大丰市
3576,7,大石桥市
3577,18,大冶市
3578,18,丹江口市
3579,11,丹阳市
3580,18,当阳市
3581,8,德惠市
3582,15,德兴市
3583,7,灯塔市
3584,17,登封市
3585,17,邓州市
3586,7,调兵山市
3587,4,定州市
3588,7,东港市
3589,11,东台市
3590,21,东兴市
3591,12,东阳市
3592,24,都江堰市
3593,29,敦煌市
3594,24,峨眉山市
3595,6,额尔古纳市
3596,20,恩平市
3597,16,肥城市
3598,5,汾阳市
3599,15,丰城市
3600,6,丰镇市
3601,7,凤城市
3602,12,奉化市
3603,14,福安市
3604,14,福鼎市
3605,14,福清市
3606,9,富锦市
3607,12,富阳市
3608,7,盖州市
3609,15,高安市
3610,4,高碑店市
3611,16,高密市
3612,5,高平市
3613,20,高要市
3614,11,高邮市
3615,20,高州市
3616,4,藁城市
3617,6,根河市
3618,8,公主岭市
3619,17,巩义市
3620,5,古交市
3621,24,广汉市
3622,18,广水市
3623,15,贵溪市
3624,21,桂平市
3625,7,海城市
3626,9,海林市
3627,9,海伦市
3628,11,海门市
3629,12,海宁市
3630,16,海阳市
3631,28,韩城市
3632,18,汉川市
3633,21,合山市
3634,4,河间市
3635,5,河津市
3636,20,鹤山市
3637,18,洪湖市
3638,19,洪江市
3639,5,侯马市
3640,9,虎林市
3641,28,华阴市
3642,24,华蓥市
3643,20,化州市
3644,8,桦甸市
3645,4,黄骅市
3646,17,辉县市
3647,6,霍林郭勒市
3648,5,霍州市
3649,16,即墨市
3650,8,集安市
3651,17,济源市
3652,4,冀州市
3653,24,简阳市
3654,12,建德市
3655,14,建瓯市
3656,14,建阳市
3657,11,江都市
3658,12,江山市
3659,11,江阴市
3660,24,江油市
3661,11,姜堰市
3662,16,胶南市
3663,16,胶州市
3664,8,蛟河市
3665,5,介休市
3666,13,界首市
3667,11,金坛市
3668,19,津市市
3669,14,晋江市
3670,4,晋州市
3671,15,井冈山市
3672,11,靖江市
3673,8,九台市
3674,11,句容市
3675,20,开平市
3676,7,开原市
3677,11,昆山市
3678,16,莱西市
3679,16,莱阳市
3680,16,莱州市
3681,12,兰溪市
3682,24,阆中市
3683,18,老河口市
3684,20,乐昌市
3685,16,乐陵市
3686,15,乐平市
3687,12,乐清市
3688,20,雷州市
3689,19,耒阳市
3690,19,冷水江市
3691,19,醴陵市
3692,11,溧阳市
3693,20,连州市
3694,19,涟源市
3695,20,廉江市
3696,17,林州市
3697,12,临安市
3698,12,临海市
3699,8,临江市
3700,16,临清市
3701,19,临湘市
3702,17,灵宝市
3703,31,灵武市
3704,7,凌海市
3705,7,凌源市
3706,19,浏阳市
3707,14,龙海市
3708,16,龙口市
3709,12,龙泉市
3710,20,陆丰市
3711,4,鹿泉市
3712,5,潞城市
3713,20,罗定市
3714,18,麻城市
3715,6,满洲里市
3716,8,梅河口市
3717,17,孟州市
3718,19,汨罗市
3719,9,密山市
3720,24,绵竹市
3721,13,明光市
3722,9,穆棱市
3723,14,南安市
3724,4,南宫市
3725,15,南康市
3726,20,南雄市
3727,9,讷河市
3728,9,宁安市
3729,13,宁国市
3730,8,磐石市
3731,24,彭州市
3732,16,蓬莱市
3733,11,邳州市
3734,16,平度市
3735,12,平湖市
3736,21,凭祥市
3737,7,普兰店市
3738,20,普宁市
3739,16,栖霞市
3740,11,启东市
3741,4,迁安市
3742,17,沁阳市
